"Češka - Južna Afrika","1","1:1","0"
"Švicarska - Bosna","1","4:1","2"
"Kanada - Katar","1","6:0","2"
"Meksiko - Koreja","1","1:0","2"
"SAD - Australija","1","2:0","2"
"Škotska - Maroko","2","0:1","2"
"Brazil - Haiti","1","3:0","2"
"Turska - Paragvaj","1","0:1","0"
"Nizozemska - Švedska","x","5:1","0"
"Njemačka - Obala Bjelokosti","1","2:1","2"
"Ekvador - Curacao","1","",""
"Tunis - Japan","2","",""
"Španjolska - Saudijska Arabija","1","",""
"Belgija - Iran","1","",""
"Urugvaj - Zelenortska Republika","1","",""
"Novi Zeland - Egipat","2","",""
"Argentina - Austrija","1","",""
"Francuska - Irak","1","",""
"Norveška - Senegal","1","",""
"Jordan - Alžir","2","",""
"Portugal - Uzbekistan","1","",""
"Engleska - Gana","1","",""
"Panama - Hrvatska","2","",""
"Kolumbija - Kongo","1","",""
