"Bosna - Katar","1","3:1","2"
"Švicarska - Kanada","x","2:1","0"
"Maroko - Haiti","1","4:2","2"
"Škotska - Brazil","2","0:3","2"
"Češka - Meksiko","2","0:3","2"
"Južna Afrika - Koreja","2","1:0","0"
"Curacao - Obala Bjelokosti","2","0:2","2"
"Ekvador - Njemačka","2","2:1","0"
"Japan - Švedska","1","1:1","0"
"Tunis - Nizozemska","2","1:3","2"
"Paragvaj - Australija","x","0:0","2"
"Turska - SAD","2","3:2","0"
"Norveška - Francuska","2","",""
"Senegal - Irak","1","",""
"Zelenortska Republika - Saudijska Arabija","1","",""
"Urugvaj - Španjolska","2","",""
"Egipat - Iran","1","",""
"Novi Zeland - Belgija","2","",""
"Hrvatska - Gana","2","",""
"Panama - Engleska","2","",""
"Kolumbija - Portugal","2","",""
"Kongo - Uzbekistan","x","",""
"Alžir - Austrija","2","",""
"Jordan - Argentina","2","",""
