"Južna Afrika - Kanada","2","0:1","2"
"Brazil - Japan","1","",""
"Njemačka - Paragvaj","1","",""
"Nizozemska - Maroko","1","",""
"Obala Bjelokosti - Norveška","x","",""
"Francuska - Švedska","1","",""
"Meksiko - Ekvador","x","",""
"Engleska - Kongo","1","",""
"Belgija - Senegal","1","",""
"SAD - Bosna","1","",""
"Španjolska - Austrija","1","",""
"Portugal - Hrvatska","x","",""
"Švicarska - Alžir","1","",""
"Australija - Egipat","x","",""
"Argentina - Zelenortska Republika","1","",""
"Kolumbija - Ghana","1","",""
