"Bosna - Katar","1","",""
"Švicarska - Kanada","x","",""
"Maroko - Haiti","1","",""
"Škotska - Brazil","2","",""
"Češka - Meksiko","2","",""
"Južna Afrika - Koreja","2","",""
"Curacao - Obala Bjelokosti","2","",""
"Ekvador - Njemačka","2","",""
"Japan - Švedska","x","",""
"Tunis - Nizozemska","2","",""
"Paragvaj - Australija","x","",""
"Turska - SAD","x","",""
"Norveška - Francuska","2","",""
"Senegal - Irak","1","",""
"Zelenortska Republika - Saudijska Arabija","x","",""
"Urugvaj - Španjolska","2","",""
"Egipat - Iran","1","",""
"Novi Zeland - Belgija","2","",""
"Hrvatska - Gana","x","",""
"Panama - Engleska","2","",""
"Kolumbija - Portugal","2","",""
"Kongo - Uzbekistan","x","",""
"Alžir - Austrija","x","",""
"Jordan - Argentina","2","",""
