"Bosna - Katar","1","3:1","2"
"Švicarska - Kanada","x","2:1","0"
"Maroko - Haiti","1","4:2","2"
"Škotska - Brazil","2","0:3","2"
"Češka - Meksiko","x","0:3","0"
"Južna Afrika - Koreja","2","1:0","0"
"Curacao - Obala Bjelokosti","x","0:2","0"
"Ekvador - Njemačka","2","2:1","0"
"Japan - Švedska","1","1:1","0"
"Tunis - Nizozemska","2","1:3","2"
"Paragvaj - Australija","x","0:0","2"
"Turska - SAD","2","3:2","0"
"Norveška - Francuska","x","1:4","0"
"Senegal - Irak","1","5:0","2"
"Zelenortska Republika - Saudijska Arabija","1","0:0","0"
"Urugvaj - Španjolska","x","0:1","0"
"Egipat - Iran","1","1:1","0"
"Novi Zeland - Belgija","2","1:5","2"
"Hrvatska - Gana","x","2:1","0"
"Panama - Engleska","2","0:2","2"
"Kolumbija - Portugal","2","",""
"Kongo - Uzbekistan","x","",""
"Alžir - Austrija","2","",""
"Jordan - Argentina","2","",""
